id,geo,hh_size,hh_kids,hh_cellular,hh_education,hh_head_female,village_pop,village_far,treatment,asset_tot_value_bsl,asset_prod_value_bsl,asset_hh_value_bsl,asset_index_bsl,asset_prod_index_bsl,asset_hh_index_bsl,iagri_month_bsl,ibusiness_month_bsl,ipaidlabor_month_bsl,index_foodsecurity_bsl,fs_enoughfood_bsl,fs_adultskip_bsl,fs_wholeday_bsl,fs_childskip_bsl,fs_twomeals_bsl,control_primeageadult,control_income_pc,control_asset_count
37616,317,4,1,0,1,0,580,1,0,665.4563599,450.7018433,214.7544861,-0.116603173,-0.088897981,-0.407374799,-26.47802925,0,49.16552353,0.740589142,0,1,1,1,0,1,0.208345413,23
37617,317,6,1,0,0,0,580,1,0,466.6388855,163.7220306,302.9168396,-0.141560346,-0.139882132,-0.037971593,-5.945943832,0,103.0134659,0.740589142,0,1,1,1,0,1,31.58323479,21
37618,317,5,1,0,1,0,580,1,0,259.9659424,179.7155914,80.25035858,-0.170627207,-0.137099087,-0.495912284,-10.77702332,0,210.7093811,0.740589142,0,1,1,1,0,1,82.35519409,15
37619,317,5,1,1,0,0,580,1,0,934.4645996,400.4040833,534.0604858,0.016964732,-0.053432871,1.00750947,-13.3783741,0,121.7432022,0.740589142,0,1,1,1,0,1,44.74108124,40
37620,317,4,1,0,0,0,580,1,0,200.0607605,150.3281403,49.73261642,-0.217332706,-0.146287426,-1.03657043,-8.361483574,0,0,-1.214466095,0,0,0,1,0,1,-6.197257042,7
37701,318,7,1,0,0,0,850,1,0,46.34175873,35.03889084,11.30286789,-0.280959219,-0.170760974,-1.602273107,0,0,0,-2.229411125,0,0,0,0,0,1,0,7
37702,318,7,1,1,1,0,850,1,0,2282.896729,1084.792725,1198.104004,0.505479157,0.327631354,2.591035366,-16.72296715,0,93.64862061,0.740589142,0,1,1,1,0,1,18.85034752,73
37705,318,4,1,0,0,0,850,1,0,152.5887146,107.377243,45.21147156,-0.229021788,-0.151860684,-1.125108004,0,0,74.91889191,-0.11483559,0,0,1,1,0,1,38.66513062,30
37706,318,4,1,1,1,0,850,1,0,247.8718872,55.7231369,192.1487427,-0.232708201,-0.173099294,-0.874688566,0,0,187.2972412,0.740589142,0,1,1,1,0,1,96.66283417,8
37707,318,7,1,0,1,0,850,1,0,223.5707245,48.37627411,175.1944427,-0.242154554,-0.178823188,-0.92880863,0,0,163.8850861,-0.11483559,0,0,1,1,0,1,48.33141708,8
37708,318,4,1,0,0,0,850,1,1,348.4674072,61.37457275,287.0928345,-0.210800171,-0.170007825,-0.603674114,265.0126343,0,5.618917465,0.740589142,0,1,1,1,0,1,139.6710968,19
37709,318,3,1,0,1,0,850,1,1,361.6917725,261.0962524,100.59552,-0.094016097,-0.059957948,-0.495912284,-2.322633982,0,163.8850861,0.740589142,0,1,1,1,0,1,108.1063843,21
37710,318,4,1,0,1,0,850,1,0,177.4550171,109.6378174,67.81720734,-0.230619177,-0.164109647,-0.973077416,-10.60979462,0,133.7837372,-1.214466095,0,0,0,1,0,1,59.07247925,13
37711,318,5,1,0,0,0,850,1,1,217.5802002,111.3332443,106.2469559,-0.245099097,-0.171147585,-1.080839157,-5.43496418,0,156.0810242,-1.12978065,0,0,1,0,0,1,60.82662201,7
37712,318,5,1,0,1,0,850,1,0,177.7375946,128.0049744,49.73261642,-0.221397087,-0.147281572,-1.080839157,0,0,180.2735748,-1.214466095,0,0,0,1,0,1,75.53318024,7
37713,318,4,1,1,0,0,850,1,0,853.3665161,116.4195404,736.9469604,-0.120414227,-0.136116415,0.212447837,157.9391327,0,0,0.740589142,0,1,1,1,0,1,81.51131439,25
37714,318,4,1,0,1,0,850,1,1,82.51093292,12.43315411,70.07778168,-0.257209778,-0.18334204,-1.080839157,0,0,35.11823273,-2.229411125,0,0,0,0,0,1,18.12428093,4
37715,318,7,1,0,1,0,850,1,0,1222.574707,1069.985962,152.5887146,0.076405413,0.122283138,-0.647942901,93.27700043,0,93.64862061,-0.11483559,0,0,1,1,0,1,54.91278458,38
37716,318,7,1,0,0,0,850,1,0,193.2790375,64.42634583,128.8526917,-0.207658708,-0.166844636,-0.603674114,16.72296715,0,78.04051208,-1.12978065,0,0,1,0,0,1,27.94673729,28
37717,318,9,1,1,1,0,850,1,0,1731.881836,272.6816711,1206.015991,0.0285876,-0.130109936,2.270278215,-56.62582016,0,343.9356995,0.740589142,0,1,1,1,0,1,64.55910492,28
37718,318,5,1,0,0,0,850,1,1,276.6376953,129.7004089,146.9372864,-0.168076977,-0.134531245,-0.495912284,0,0,374.5944824,0.740589142,0,1,1,1,0,1,152.4069824,26
37719,318,14,1,1,0,0,850,1,0,510.8896179,166.1521606,344.7374573,0.002306479,-0.115738533,1.68684113,0,0,254.9323425,0.740589142,0,1,1,1,0,1,37.59109879,37
37720,318,10,1,0,1,0,850,1,0,222.6664886,168.412735,54.25376511,-0.111089282,-0.072705418,-0.559405327,2.322633743,0,37.45944595,0.740589142,0,1,1,1,0,1,8.212504387,19
37721,318,8,1,0,1,0,850,1,0,324.6183472,133.5998993,191.0184631,-0.084410347,-0.128687575,0.624283791,0,0,147.4965668,0.740589142,0,1,1,1,0,1,37.23389053,11
37722,318,9,1,1,1,0,850,1,0,761.5307007,105.964386,655.5663452,-0.086757421,-0.163790464,1.092063069,-94.76347351,0,248.1688385,-0.359041333,0,1,0,1,0,1,34.29228973,26
37723,318,4,1,0,1,0,850,1,1,387.6883545,24.30116463,363.387207,-0.165665969,-0.168501541,0.024138071,0,0,224.7566833,-1.214466095,0,0,0,1,0,1,115.9953995,11
37724,318,7,1,0,0,0,850,1,1,270.308075,102.5735245,167.7345581,-0.210081711,-0.172382742,-0.559405327,0,0,285.6282654,-1.214466095,0,0,0,1,0,1,82.59082031,6
37725,318,5,1,0,0,0,850,1,0,516.8236084,155.1318512,361.6917725,-0.140322983,-0.146178409,0.069790341,0,0,93.64862061,0.740589142,0,1,1,1,0,1,35.61565399,24
37726,318,4,1,0,0,0,850,1,1,185.3670349,55.38405228,129.9829712,-0.210408986,-0.17581062,-0.515136659,0,0,0,-1.12978065,0,0,1,0,0,0,0,15
37727,318,8,1,0,1,0,850,1,0,279.7459717,76.2943573,203.4516144,-0.15531227,-0.161271378,0.069790341,-1.393580675,0,206.0269623,0.740589142,0,1,1,1,0,1,52.80495071,26
37728,318,8,1,1,1,0,850,1,0,192.1487427,98.33494568,93.81380463,-0.183054149,-0.159596533,-0.353254706,-14.34458923,1.951012731,206.0269623,-2.229411125,0,0,0,0,0,1,49.96643829,17
37729,318,7,1,1,1,0,850,1,0,269.5733948,89.85779572,179.7155914,-0.194372371,-0.175436914,-0.289761662,0,0,224.7566833,-2.229411125,0,0,0,0,0,1,61.0841713,7
37730,318,9,1,0,0,0,850,1,1,495.8191223,406.5264893,89.29264832,0.011153863,0.012543114,-0.018747253,-32.51688385,0,0,0.740589142,0,1,1,1,0,1,-14.53352165,33
37731,318,9,1,1,0,0,850,1,1,206.2773285,51.42804718,154.8492889,-0.100411139,-0.16232577,0.874703228,0,0,146.716156,-1.12978065,0,0,1,0,0,1,33.65298462,24
37732,318,3,1,0,1,0,850,1,0,1237.38147,872.2988281,365.0826111,0.135486811,0.164936125,-0.407374799,50.30825424,0,195.1012726,-0.274356008,0,1,1,0,0,1,166.315033,25
37733,318,6,1,0,1,0,850,1,0,351.8017578,213.9067688,137.894989,-0.15657793,-0.119854286,-0.5401811,-5.574322701,0,42.14188004,0.740589142,0,1,1,1,0,1,10.98325062,13
37734,318,5,1,1,0,0,850,1,1,758.9875488,116.4195404,642.5680542,-0.08634866,-0.147100821,0.859484375,-16.07262993,0,0,-0.274356008,0,1,1,0,0,1,-7.786727905,28
37735,318,5,1,0,1,0,850,1,0,341.3465881,261.0962524,80.25035858,-0.142204434,-0.108479679,-0.495912284,26.98901176,0,0,-1.214466095,0,0,0,1,0,1,11.30609894,19
37736,318,5,1,1,0,0,850,1,1,705.9771118,524.0009155,181.9761658,0.15615876,0.171322763,-0.201224059,-131.0894928,0,16.38850594,0.740589142,0,1,1,1,0,1,-48.50786591,26
37737,318,6,1,0,1,0,850,1,1,170.3907318,115.5718231,54.81890869,-0.172670811,-0.145353526,-0.407374799,39.02025604,0,28.0945816,-1.12978065,0,0,1,0,0,1,22.29254341,22
37739,318,8,1,1,1,0,850,1,1,658.1094971,222.9490662,435.1604004,0.101366356,0.00986194,1.317425013,72.65200043,-205.6924896,0,-1.12978065,0,0,1,0,0,1,-35.04986954,32
37740,318,9,1,0,0,0,850,1,1,236.2299347,153.7189941,82.51093292,-0.142322242,-0.13755098,-0.082240298,0,0,145.1553497,-1.373986602,0,1,0,0,0,1,33.29497528,20
37741,318,9,1,0,1,0,850,1,0,162.7612915,60.47034073,102.2909546,-0.204416081,-0.163579583,-0.603674114,25.36316872,0,149.8377838,0.740589142,0,1,1,1,0,1,39.68588638,19
37742,318,4,1,0,1,0,850,1,0,128.8526917,44.08118439,84.77150726,-0.244323954,-0.176563755,-0.992301643,0,0,50.50336075,-1.373986602,0,1,0,0,0,1,26.06444168,9
37743,318,5,1,1,1,0,850,1,1,162.1961517,44.64632797,117.5498199,-0.197660878,-0.174304321,-0.353254706,1.059121251,0,196.6620941,-0.11483559,0,0,1,1,0,1,81.63406372,23
37744,318,5,1,1,1,0,850,1,1,572.4902344,69.51263428,502.9776001,-0.122629941,-0.182287633,0.840260029,-0.929053605,0,224.7566833,-0.11483559,0,0,1,1,0,1,92.41273499,11
37745,318,8,1,1,1,0,850,1,1,1290.22229,431.2044067,859.0179443,0.236637309,0.022284463,3.086040974,153.1080475,114.2736053,111.4864502,0.740589142,0,1,1,1,0,1,93.6675415,54
37746,318,9,1,1,1,0,850,1,1,352.0843201,188.192749,163.8915863,-0.097396053,-0.120481186,0.320209771,51.56248474,0,463.5606384,-1.12978065,0,0,1,0,0,1,117.5169373,27
37747,318,3,1,0,0,0,850,1,0,177.4550171,132.8087006,44.64632797,-0.221008435,-0.15753077,-0.92880863,0,0,168.5675201,0.740589142,0,1,1,1,0,1,111.2485657,16
37748,318,4,1,0,1,0,850,1,0,248.0979462,167.84758,80.25035858,-0.170392409,-0.139961034,-0.451643497,0,0,196.6620941,-0.11483559,0,0,1,1,0,1,99.35816193,21
37749,318,7,1,0,1,0,850,1,1,943.2243042,361.1266174,582.0976563,-0.087700576,-0.096290238,0.114059038,26.75675201,0,45.48646927,0.740589142,0,1,1,1,0,1,19.33256721,59
37750,318,5,1,0,1,0,850,1,1,232.2739258,116.9846802,115.2892532,-0.223814383,-0.160356134,-0.92880863,0,0,31.43917656,-2.229411125,0,0,0,0,0,1,12.80782509,7
37751,318,4,1,1,1,0,850,1,1,704.7338257,190.4533234,514.2804565,-0.089571424,-0.135254964,0.643867016,-13.00675201,0,56.96957397,0.740589142,0,1,1,1,0,1,19.76409721,30
37752,318,7,1,0,1,1,850,1,0,598.7694092,378.3634949,220.4059143,-0.108445443,-0.033548482,-1.080839157,116.1317215,0,121.7432022,0.740589142,0,1,1,1,0,1,68.5147171,21
37753,318,7,1,1,1,0,850,1,1,990.5267944,160.8963165,829.6304932,-0.087913565,-0.154873252,0.94802177,-4.459457874,-27.87161064,109.2567139,0.740589142,0,1,1,1,0,1,19.70656013,15
37754,318,5,1,0,1,0,850,1,0,404.0775146,274.0945435,129.9829712,-0.174357653,-0.14705205,-0.407374799,0,-60.3884964,117.0607758,0.740589142,0,1,1,1,0,1,20.36823845,24
37755,318,5,1,1,1,0,850,1,0,1085.866455,766.5604858,319.3059998,0.148488611,0.160501167,-0.156955361,122.1241074,0,52.51011658,0.740589142,0,1,1,1,0,1,62.09052658,32
