st,state,cd,dailykos_name,largest_place,pct_trump,pct_romney,pct_mccain,totalvoters,region,division
CA,California,CA-22,Central Valley near Fresno and Tulare,Fresno,0.5501583949313622,0.5763747454175153,0.5670103092783506,246618,West,Pacific
CA,California,CA-23,Bakersfield area,Bakersfield,0.6167728237791932,0.6301229508196722,0.6288659793814433,250433,West,Pacific
CA,California,CA-24,San Luis Obispo and Santa Barbara,Santa Maria,0.3916309012875536,0.4434156378600823,0.422680412371134,320278,West,Pacific
CA,California,CA-25,Northern Los Angeles County suburbs,Santa Clarita,0.46432374866879655,0.5097435897435898,0.4948453608247423,277363,West,Pacific
CA,California,CA-26,Ventura County,Oxnard,0.38338658146964855,0.44728761514841353,0.422680412371134,301750,West,Pacific
CA,California,CA-27,San Gabriel Valley,Pasadena,0.3008474576271186,0.35860655737704916,0.3645833333333333,270289,West,Pacific
CA,California,CA-28,Burbank and Glendale,Los Angeles,0.23622881355932204,0.2737603305785124,0.27083333333333337,293728,West,Pacific
CA,California,CA-29,East San Fernando Valley,Los Angeles,0.17777777777777778,0.21025641025641023,0.2371134020618557,196707,West,Pacific
CA,California,CA-30,West San Fernando Valley,Los Angeles,0.27109704641350213,0.3295687885010267,0.3195876288659794,304380,West,Pacific
CA,California,CA-31,San Bernardino area,San Bernardino,0.3881230116648992,0.4151329243353783,0.422680412371134,233819,West,Pacific
CA,California,CA-32,East San Gabriel Valley,El Monte,0.2937433722163309,0.33265097236438074,0.3608247422680412,221790,West,Pacific
CA,California,CA-33,Coastal West Side of Los Angeles,Los Angeles,0.2810180275715801,0.37782340862423,0.3402061855670103,355296,West,Pacific
CA,California,CA-34,Downtown Los Angeles,Los Angeles,0.1134676564156946,0.14521112255406796,0.19791666666666669,184979,West,Pacific
CA,California,CA-35,Southwest San Bernardino County and Pomona,Fontana,0.2843551797040169,0.3122448979591837,0.33333333333333337,191409,West,Pacific
CA,California,CA-36,Eastern Riverside County,Indio,0.45397489539748953,0.4837067209775967,0.4845360824742268,240493,West,Pacific
CA,California,CA-37,Culver City area of Los Angeles,Los Angeles,0.10073452256033578,0.13012295081967212,0.13402061855670103,275024,West,Pacific
CA,California,CA-38,Southeastern Los Angeles County,Norwalk,0.2902542372881356,0.33707865168539325,0.3645833333333333,251006,West,Pacific
CA,California,CA-39,San Gabriel Valley and northern Orange County,Fullerton,0.4544491525423729,0.5188968335035751,0.5104166666666666,279167,West,Pacific
CA,California,CA-40,East Los Angeles,Los Angeles,0.13473684210526315,0.16836734693877553,0.19791666666666669,165511,West,Pacific
CA,California,CA-41,Riverside and Moreno Valley,Riverside,0.3517534537725824,0.3711656441717792,0.3917525773195876,209008,West,Pacific
CA,California,CA-42,Southwestern Riverside County,Corona,0.5632911392405063,0.5771195097037793,0.5567010309278351,272725,West,Pacific
CA,California,CA-43,Inland cities south of Los Angeles,Los Angeles,0.17560462670872762,0.20408163265306123,0.2268041237113402,234725,West,Pacific
CA,California,CA-44,"South Los Angeles, including Compton",Los Angeles,0.12906610703043023,0.13835198372329605,0.16494845360824742,197743,West,Pacific
CA,California,CA-45,Irvine area of Orange County,Irvine,0.4713375796178344,0.5603271983640081,0.5257731958762887,335506,West,Pacific
CA,California,CA-46,Santa Ana and the Anaheim area of Orange County,Santa Ana,0.2961783439490446,0.37090163934426235,0.4020618556701031,182994,West,Pacific
CA,California,CA-47,Long Beach area,Long Beach,0.33119658119658124,0.38461538461538464,0.4020618556701031,260248,West,Pacific
CA,California,CA-48,Coastal Orange County,Huntington Beach,0.4909670563230606,0.5598771750255885,0.5257731958762887,327524,West,Pacific
CA,California,CA-49,Southern Orange and northern San Diego Counties,Oceanside,0.4600638977635783,0.5341488277268094,0.4948453608247423,322508,West,Pacific
CA,California,CA-50,Inland San Diego County,Escondido,0.5796178343949044,0.6163265306122448,0.5979381443298969,300435,West,Pacific
CA,California,CA-51,South San Diego and Imperial County,San Diego,0.24101479915433405,0.293997965412004,0.32989690721649484,204480,West,Pacific
CA,California,CA-52,Suburban San Diego,San Diego,0.3799359658484525,0.467280163599182,0.4387755102040816,340097,West,Pacific
CA,California,CA-53,Eastern San Diego,San Diego,0.31455897980871417,0.3721881390593047,0.3711340206185567,316975,West,Pacific
CO,Colorado,CO-01,Denver,Denver,0.25162689804772237,0.294478527607362,0.2802030456852792,413656,West,Mountain
CO,Colorado,CO-02,Boulder and Fort Collins,Fort Collins,0.38309549945115257,0.40554414784394255,0.37804878048780494,482193,West,Mountain
CO,Colorado,CO-03,Pueblo and the Western Slope,Pueblo,0.5652173913043478,0.5307377049180328,0.5076297049847406,386827,West,Mountain
CO,Colorado,CO-04,Eastern Colorado and Denver exurbs,Greeley,0.6259541984732825,0.5987717502558854,0.5737538148524924,409195,West,Mountain
CO,Colorado,CO-05,Colorado Springs,Colorado Springs,0.6327433628318584,0.606776180698152,0.5969543147208122,380663,West,Mountain
CO,Colorado,CO-06,Aurora and Denver's southern suburbs,Aurora,0.4513661202185792,0.474006116207951,0.4558375634517766,390829,West,Mountain
CO,Colorado,CO-07,Denver’s northern and western suburbs,Lakewood,0.43392070484581496,0.4240246406570842,0.4148827726809379,384139,West,Mountain
CT,Connecticut,CT-01,Hartford area,Hartford,0.3793103448275862,0.35995955510616784,0.3333333333333333,331636,Northeast,New England
CT,Connecticut,CT-02,Eastern Connecticut,Norwich,0.48465608465608456,0.4324873096446701,0.40567951318458423,330165,Northeast,New England
CT,Connecticut,CT-03,New Haven area,New Haven,0.41952232606438217,0.3670374115267947,0.3663967611336033,322875,Northeast,New England
CT,Connecticut,CT-04,Southern Fairfield County,Bridgeport,0.3804573804573805,0.4439959636730575,0.39979859013091645,332196,Northeast,New England
CT,Connecticut,CT-05,Northern Fairfield County and northwestern Connecticut,Waterbury,0.4785788923719958,0.45850202429149794,0.4291497975708502,323471,Northeast,New England
DE,Delaware,DE-01,All of Delaware,Wilmington,0.4396642182581322,0.40567951318458423,0.3734817813765182,446180,South,South Atlantic
FL,Florida,FL-01,Pensacola area,Pensacola,0.7053291536050157,0.6947261663286005,0.6761133603238866,384097,South,South Atlantic
FL,Florida,FL-02,Florida panhandle,Tallahassee,0.6838842975206613,0.6551724137931033,0.6430020283975659,356733,South,South Atlantic
FL,Florida,FL-03,"North Florida, including Gainesville and Ocala",Gainesville,0.58298755186722,0.5746192893401015,0.5526315789473685,354262,South,South Atlantic
FL,Florida,FL-04,Part of the Jacksonville area and St. Augustine,Jacksonville,0.6455301455301455,0.6683518705763397,0.6484848484848486,424159,South,South Atlantic
FL,Florida,FL-05,Jacksonville and Tallahassee areas,Jacksonville,0.36934156378600824,0.35757575757575755,0.3622603430877901,313289,South,South Atlantic
FL,Florida,FL-06,Daytona area,Deltona,0.5878099173553719,0.52834008097166,0.4929149797570851,382086,South,South Atlantic
FL,Florida,FL-07,Northern Orlando suburbs,Orlando,0.46178010471204184,0.5,0.4843592330978809,366901,South,South Atlantic
FL,Florida,FL-08,Space Coast,Palm Bay,0.6077003121748179,0.5734549138804458,0.5562310030395137,406337,South,South Atlantic
FL,Florida,FL-09,Southern suburbs of Orlando,Kissimmee,0.4332988624612203,0.4383838383838384,0.4490413723511604,359373,South,South Atlantic
FL,Florida,FL-10,Orlando,Orlando,0.3609100310237849,0.3874873864783048,0.3873239436619718,318784,South,South Atlantic
FL,Florida,FL-11,North-central Florida and The Villages,Spring Hill,0.6659815005138746,0.5979797979797981,0.5683890577507599,414224,South,South Atlantic
FL,Florida,FL-12,Northern Tampa suburbs,Palm Harbor,0.5966735966735967,0.5380710659898477,0.5192697768762677,383890,South,South Atlantic
FL,Florida,FL-13,St. Petersburg area,St. Petersburg,0.48333333333333334,0.4456852791878172,0.4365482233502538,365791,South,South Atlantic
FL,Florida,FL-14,Tampa area,Tampa,0.4054054054054054,0.41700404858299595,0.4131313131313131,334852,South,South Atlantic
FL,Florida,FL-15,Lakeland and the exurbs of Tampa and Orlando,Brandon,0.551975051975052,0.52834008097166,0.5273279352226721,337740,South,South Atlantic
FL,Florida,FL-16,Sarasota area,Riverview,0.5553257497414684,0.5435222672064778,0.5176946410515672,401140,South,South Atlantic
FL,Florida,FL-17,South-central Florida,North Port,0.6399176954732511,0.5824064711830131,0.554766734279919,357334,South,South Atlantic
FL,Florida,FL-18,Treasure Coast and Palm Beach area,Port St. Lucie,0.5472279260780287,0.5186680121089808,0.48335015136226034,386373,South,South Atlantic
FL,Florida,FL-19,Cape Coral and Fort Myers,Cape Coral,0.6138002059732235,0.6098790322580645,0.5731584258324924,387960,South,South Atlantic
FL,Florida,FL-20,West Palm Beach and Fort Lauderdale areas,Miramar,0.18413021363173956,0.17168674698795183,0.18693467336683417,291357,South,South Atlantic
FL,Florida,FL-21,Southeast Palm Beach County,Boynton Beach,0.4002047082906858,0.39174219536757304,0.36153071500503525,355190,South,South Atlantic
FL,Florida,FL-22,Boca Raton and northeast Broward County,Coral Springs,0.41922290388548056,0.433031218529708,0.4128902316213494,360189,South,South Atlantic
